"Name","Total Time","Total Time (CPU)","Hits"
"Monitor Ctrl-Break","1,059,068 ms (-0%)","1,059,068 ms (-0%)","1"
" com.intellij.rt.execution.application.AppMainV2$1.run ()","1,059,068 ms (-0%)","1,059,068 ms (-0%)","1"
"  java.io.BufferedReader.readLine ()","1,059,068 ms (-0%)","1,059,068 ms (-0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-1","1,059,068 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"Catalina-utility-2","1,059,068 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"container-0","1,059,068 ms (-0%)","0.0 ms (0%)","1"
" org.springframework.boot.web.embedded.tomcat.TomcatWebServer$1.run ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.catalina.core.StandardServer.await ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"   java.lang.Thread.sleep[native] ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"mysql-cj-abandoned-connection-cleanup","1,059,068 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"  java.util.concurrent.ThreadPoolExecutor$Worker.run ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor.runWorker ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"    com.mysql.cj.jdbc.AbandonedConnectionCleanupThread.run ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"     java.lang.ref.ReferenceQueue.remove ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8080-BlockPoller","1,059,068 ms (-0%)","1,059,068 ms (-0%)","1"
" org.apache.tomcat.util.net.NioBlockingSelector$BlockPoller.run ()","1,059,068 ms (-0%)","1,059,068 ms (-0%)","1"
"  sun.nio.ch.SelectorImpl.select ()","1,059,068 ms (-0%)","1,059,068 ms (-0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"http-nio-8080-exec-1","1,059,068 ms (-0%)","0.0 ms (0%)","1"
" java.lang.Thread.run ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"  org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"   java.util.concurrent.ThreadPoolExecutor$Worker.run ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"    java.util.concurrent.ThreadPoolExecutor.runWorker ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"     java.util.concurrent.ThreadPoolExecutor.getTask ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"      org.apache.tomcat.util.threads.TaskQueue.take ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"       org.apache.tomcat.util.threads.TaskQueue.take ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"        java.util.concurrent.LinkedBlockingQueue.take ()","1,059,068 ms (-0%)","0.0 ms (0%)","1"
"        Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"       Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"      Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"     Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"    Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"   Self time","0.0 ms (0%)","0.0 ms (0%)","1"
"  Self time","0.0 ms (0%)","0.0 ms (0%)","1"
