"Name","Live Bytes","Live Objects"
"byte[]","10,941,512 B (31.9%)","86,793 (14.4%)"
"java.lang.String","1,935,384 B (5.6%)","80,641 (13.4%)"
"int[]","1,828,744 B (5.3%)","7,078 (1.2%)"
"java.lang.Object[]","1,815,936 B (5.3%)","33,852 (5.6%)"
"java.lang.reflect.Method","1,753,576 B (5.1%)","19,927 (3.3%)"
"java.lang.Class","1,590,456 B (4.6%)","13,390 (2.2%)"
"char[]","1,460,072 B (4.3%)","5,382 (0.9%)"
"java.util.concurrent.ConcurrentHashMap$Node","1,316,192 B (3.8%)","41,131 (6.8%)"
"java.util.TreeMap$Entry","660,520 B (1.9%)","16,513 (2.7%)"
"java.lang.Class$ReflectionData","643,840 B (1.9%)","10,060 (1.7%)"
"java.lang.Class[]","620,544 B (1.8%)","28,693 (4.8%)"
"java.util.HashMap$Node","484,032 B (1.4%)","15,126 (2.5%)"
"java.util.HashMap$Node[]","476,888 B (1.4%)","5,158 (0.9%)"
"java.util.LinkedHashMap$Entry","453,680 B (1.3%)","11,342 (1.9%)"
"java.lang.ref.SoftReference","449,840 B (1.3%)","11,246 (1.9%)"
"java.util.concurrent.ConcurrentHashMap$Node[]","419,288 B (1.2%)","461 (0.1%)"
"java.lang.ref.WeakReference","384,448 B (1.1%)","12,014 (2%)"
"java.lang.Object","323,760 B (0.9%)","20,235 (3.4%)"
"java.util.LinkedHashMap","305,256 B (0.9%)","5,451 (0.9%)"
"java.io.ObjectStreamClass$WeakClassKey","296,320 B (0.9%)","9,260 (1.5%)"
"org.h2.mvstore.MVMap[]","262,160 B (0.8%)","1 (0%)"
"java.lang.reflect.Field","182,232 B (0.5%)","2,531 (0.4%)"
"java.lang.invoke.MemberName","144,576 B (0.4%)","3,012 (0.5%)"
"java.lang.String[]","135,384 B (0.4%)","3,662 (0.6%)"
"java.lang.reflect.Constructor","130,464 B (0.4%)","1,812 (0.3%)"
"org.springframework.core.MethodClassKey","120,264 B (0.4%)","5,011 (0.8%)"
